Iteration; Energy; Damage
199;80.000.305;15.000.000
200;79.900.307;15.000.000
201;79.800.308;15.000.000
202;79.700.310;15.000.000
203;79.600.311;15.000.000
204;79.500.313;15.000.000
205;79.400.314;15.000.000
206;79.300.316;15.000.000
207;79.200.317;15.000.000
208;79.100.319;15.000.000
209;79.000.320;15.000.000
210;78.900.322;15.000.000
211;78.800.323;15.000.000
212;78.700.325;15.000.000
213;78.600.327;15.000.000
214;78.500.328;15.000.000
215;78.400.330;15.000.000
216;78.300.331;15.000.000
217;78.200.333;15.000.000
218;78.100.334;15.000.000
219;78.000.336;15.000.000
220;77.900.337;15.000.000
221;77.800.339;15.000.000
222;77.700.340;15.000.000
223;77.600.342;15.000.000
224;77.500.343;15.000.000
225;77.400.345;15.000.000
226;77.300.346;15.000.000
227;77.200.348;15.000.000
228;77.100.349;15.000.000
229;77.000.351;15.000.000
230;76.900.352;15.000.000
231;76.800.354;15.000.000
232;76.700.356;15.000.000
233;76.600.357;15.000.000
234;76.500.359;15.000.000
235;76.400.360;15.000.000
236;76.300.362;15.000.000
237;76.200.363;15.000.000
238;76.100.365;15.000.000
239;76.000.366;15.000.000
240;75.900.368;15.000.000
241;75.800.369;15.000.000
242;75.700.371;15.000.000
243;75.600.372;15.000.000
244;75.500.374;15.000.000
245;75.400.375;15.000.000
246;75.300.377;15.000.000
247;75.200.378;15.000.000
248;75.100.380;15.000.000
249;75.000.381;15.000.000
250;74.900.383;15.000.000
251;74.800.385;15.000.000
252;74.700.386;15.000.000
253;74.600.388;15.000.000
254;74.600.388;14.500.000
255;74.550.385;14.500.000
256;74.550.385;14.000.000
257;74.550.385;13.500.000
258;74.550.385;13.000.000
259;74.550.385;12.500.000
260;74.550.385;12.000.000
261;74.550.385;11.500.000
262;74.550.385;11.000.000
263;74.550.385;10.500.000
264;74.550.385;10.000.000
265;74.550.385;9.500.000
266;74.550.385;9.000.000
267;74.550.385;8.500.000
268;74.550.385;8.000.000
269;74.550.385;7.500.000
270;74.550.385;7.000.000
271;74.550.385;6.500.000
272;74.550.385;6.000.000
273;74.550.385;5.500.000
274;74.550.385;5.000.000
275;74.550.385;4.500.000
276;74.550.385;4.000.000
277;74.550.385;3.500.000
278;74.550.385;3.000.000
279;74.550.385;2.500.000
