"Run number","Lifetime (sec)","Mean wellbeing (life)","Mean wellbeing (ext)"
1,275,40.9456521739,18.8036605657
2,355,28.904494382,17.1214642263
3,491,27.7520325203,22.7188019967
4,411,30.6334951456,21
5,319,38.021875,20.2445923461
6,600,36.190515807,36.190515807
7,563,34.1418439716,32.0399334443
8,600,35.2554076539,35.2554076539
9,319,26.4625,14.0898502496
10,600,33.2836938436,33.2836938436
