"Run number","Lifetime (sec)","Mean wellbeing (life)","Mean wellbeing (ext)"
1,600,49.1306156406,49.1306156406
2,567,34.6813380282,32.7770382696
3,600,36.9159733777,36.9159733777
4,507,41.5393700787,35.1114808652
5,499,38.148,31.7371048253
6,600,37.5083194676,37.5083194676
7,575,24.7899305556,23.7587354409
8,600,35.5482529118,35.5482529118
9,595,31.0973154362,30.8386023295
10,600,44.9176372712,44.9176372712
